"date","daily_cases"
2025-06-16,1
2025-06-28,1
2025-06-30,3
2025-07-01,1
2025-07-02,8
2025-07-03,18
2025-07-04,24
2025-07-05,24
2025-07-06,31
2025-07-07,48
2025-07-08,53
2025-07-09,106
2025-07-10,123
2025-07-11,135
2025-07-12,148
2025-07-13,154
2025-07-14,175
2025-07-15,279
2025-07-16,319
2025-07-17,322
2025-07-18,405
2025-07-19,399
2025-07-20,360
2025-07-21,418
2025-07-22,284
2025-07-23,346
2025-07-24,279
2025-07-25,324
2025-07-26,446
2025-07-27,442
2025-07-28,493
2025-07-29,418
2025-07-30,408
2025-07-31,319
2025-08-01,260
2025-08-02,211
2025-08-03,190
2025-08-04,188
2025-08-05,196
2025-08-06,179
2025-08-07,116
2025-08-08,75
2025-08-09,6
